,Date,Open,High,Low,Close,Adj Close**,Volume,Daily_Change,Daily_Change_Ind,MACD,PROC_3,PROC_5,PROC_10,wpr,sto_os
623,2016-06-01,0.0002,0.0002,0.0002,0.0002,0.0002,"113,517",0.0,0,-1.2023034774867993e-07,0.0,0.0,0.0,0,0
624,2016-06-02,0.0002,0.0002,0.0002,0.0002,0.0002,"82,274",0.0,0,-1.113535078433724e-07,0.0,0.0,0.0,0,0
625,2016-06-03,0.0002,0.0002,0.0002,0.0002,0.0002,"116,288",0.0,0,-1.0312973289941323e-07,0.0,0.0,0.0,0,0
626,2016-06-04,0.0002,0.0002,0.0002,0.0002,0.0002,"107,638",0.0,0,-9.551133677067358e-08,0.0,0.0,0.0,0,0
627,2016-06-05,0.0002,0.0002,0.0002,0.0002,0.0002,"67,034",0.0,0,-8.84540596125848e-08,0.0,0.0,0.0,0,0
628,2016-06-06,0.0002,0.0002,0.0002,0.0002,0.0002,"112,362",0.0,0,-8.191683039057989e-08,0.0,0.0,0.0,0,0
629,2016-06-07,0.0002,0.0002,0.0002,0.0002,0.0002,"185,525",0.0,0,-7.586154447144057e-08,0.0,0.0,0.0,0,0
630,2016-06-08,0.0002,0.0002,0.0002,0.0002,0.0002,"180,955",0.0,0,-7.025285556644541e-08,0.0,0.0,0.0,0,0
631,2016-06-09,0.0002,0.0003,0.0002,0.0003,0.0003,"520,075",9.999999999999996e-05,1,7.912149995918248e-06,0.4999999999999998,0.4999999999999998,0.4999999999999998,0,0
632,2016-06-10,0.0003,0.0003,0.0003,0.0003,0.0003,"337,925",0.0,0,1.4076002372484118e-05,0.4999999999999998,0.4999999999999998,0.4999999999999998,-0.0,100.0
633,2016-06-11,0.0003,0.0003,0.0002,0.0003,0.0003,"199,328",0.0,0,1.8744821158996007e-05,0.4999999999999998,0.4999999999999998,0.4999999999999998,-0.0,100.0
634,2016-06-12,0.0003,0.0003,0.0003,0.0003,0.0003,"595,447",0.0,0,2.2189111420120757e-05,0.0,0.4999999999999998,0.4999999999999998,-0.0,100.0
635,2016-06-13,0.0003,0.0003,0.0003,0.0003,0.0003,"827,824",0.0,0,2.46347620643624e-05,0.0,0.4999999999999998,0.4999999999999998,-0.0,100.0
636,2016-06-14,0.0003,0.0003,0.0003,0.0003,0.0003,"1,283,070",0.0,0,2.6270132089744203e-05,0.0,0.0,0.4999999999999998,-0.0,100.0
637,2016-06-15,0.0003,0.0003,0.0003,0.0003,0.0003,"363,588",0.0,0,2.7252030176983568e-05,0.0,0.0,0.4999999999999998,-0.0,100.0
