date,count,compound,neg,neu,pos,retweets_count,likes_count,replies_count,compound_weighted_replies,compound_weighted_likes,compound_weighted_retweets
2014-07-25,1,-0.4019,0.214,0.69,0.097,6,33,0,,-0.4019,-0.4019
2014-07-26,1,-0.3802,0.105,0.895,0.0,19,47,3,-0.38020000000000004,-0.3802,-0.3802
2014-07-28,1,0.0,0.0,1.0,0.0,106,75,21,0.0,0.0,0.0
2014-07-29,2,0.62885,0.0,0.6415,0.35850000000000004,35,30,4,0.5574,0.6240866666666667,0.5818971428571428
2014-07-30,1,0.0,0.0,1.0,0.0,27,24,26,0.0,0.0,0.0
2014-07-31,14,0.10355,0.02957142857142857,0.8887857142857143,0.08157142857142859,450,336,89,-0.0333876404494382,0.12467946428571428,0.10673888888888888
2014-08-01,2,0.3114,0.0,0.8415,0.1585,86,48,7,0.2642142857142857,0.302225,0.3370046511627907
2014-08-02,3,0.0,0.0,1.0,0.0,73,67,12,0.0,0.0,0.0
2014-08-03,1,0.4912,0.0,0.834,0.166,10,19,1,0.4912,0.4912,0.49119999999999997
2014-08-04,3,0.41806666666666664,0.0,0.8596666666666666,0.14033333333333334,95,78,13,0.41077692307692304,0.2256128205128205,0.32564315789473686
2014-08-05,4,0.103875,0.043,0.89175,0.06525,160,119,13,0.0493923076923077,0.028564705882352943,-0.04958125000000001
2014-08-06,3,0.0,0.021666666666666667,0.9223333333333333,0.056333333333333326,314,180,31,0.019974193548387097,0.016196666666666668,0.01996624203821656
2014-08-07,3,0.0,0.0,1.0,0.0,88,61,9,0.0,0.0,0.0
2014-08-08,4,0.3747,0.0,0.8745,0.1255,142,92,11,0.40876363636363633,0.3421173913043478,0.17943380281690138
2014-08-09,3,0.5554666666666667,0.0,0.8143333333333334,0.18566666666666665,385,212,29,0.20756206896551727,0.1465504716981132,0.13305376623376625
2014-08-10,4,0.19977499999999998,0.0365,0.82675,0.13674999999999998,234,160,11,-0.05930909090909093,0.129455,0.09847820512820511
2014-08-12,3,0.16463333333333333,0.0,0.9540000000000001,0.046000000000000006,121,79,12,0.08231666666666666,0.2813354430379747,0.2081727272727273
2014-08-13,1,-0.5046,0.141,0.859,0.0,13,15,2,-0.5046,-0.5046,-0.5046
2014-08-14,3,0.3476333333333334,0.07233333333333332,0.7233333333333333,0.20433333333333334,73,54,1,0.3802,0.3698055555555555,0.3802
2014-08-15,2,0.0,0.0,1.0,0.0,121,54,1,0.0,0.0,0.0
2014-08-17,1,0.0,0.0,1.0,0.0,41,25,1,0.0,0.0,0.0
2014-08-18,2,0.41125,0.0,0.8594999999999999,0.1405,75,73,9,0.1827777777777778,0.4506849315068493,0.6689666666666667
2014-08-19,2,0.4432,0.0505,0.7515000000000001,0.1985,5,4,0,,0.4432,0.17728
2014-08-20,2,-0.05135,0.0615,0.9385,0.0,46,20,0,,-0.025674999999999996,-0.020093478260869567
2014-08-21,1,0.7163,0.0,0.761,0.239,26,20,3,0.7163,0.7163,0.7163000000000002
2014-08-22,3,-0.43979999999999997,0.22266666666666665,0.727,0.049999999999999996,101,60,10,-0.39581999999999995,-0.43979999999999997,-0.5486613861386138
2014-08-24,5,0.27715999999999996,0.0,0.8725999999999999,0.1274,182,133,136,0.00656764705882353,0.16602105263157896,0.12471428571428572
2014-08-25,1,-0.7125,0.34,0.494,0.166,26,29,6,-0.7125,-0.7125,-0.7125000000000001
2014-08-27,3,0.021366666666666683,0.09866666666666668,0.798,0.10333333333333333,122,91,18,-0.07995555555555553,0.08921208791208791,0.05747131147540986
2014-08-28,1,-0.4576,0.25,0.75,0.0,32,27,2,-0.4576,-0.4576,-0.4576
2014-08-31,2,0.0386,0.0,0.9545,0.0455,62,32,3,0.05146666666666667,0.0410125,0.03735483870967742
2014-09-01,2,0.17,0.0,0.935,0.065,33,33,4,0.085,0.16484848484848486,0.12363636363636364
2014-09-02,1,0.4019,0.0,0.838,0.162,22,21,1,0.4019,0.4019,0.4019
2014-09-03,1,-0.5106,0.249,0.751,0.0,12,19,9,-0.5106,-0.5106,-0.5106
2014-09-04,4,0.6578999999999999,0.0,0.73975,0.26025,522,130,99,0.8240363636363637,0.6477784615384614,0.8217448275862068
2014-09-06,3,0.5745666666666666,0.0,0.7966666666666667,0.20333333333333337,44,52,1,0.6705,0.5708769230769231,0.5723863636363636
2014-09-08,2,-0.14195,0.1205,0.8285,0.051,112,92,5,0.2584,0.14525760869565219,0.19405803571428573
2014-09-10,1,0.0,0.0,1.0,0.0,25,17,3,0.0,0.0,0.0
2014-09-11,1,0.6369,0.0,0.792,0.208,46,28,6,0.6369,0.6369,0.6369
2014-09-12,2,-0.22724999999999998,0.1825,0.7535000000000001,0.064,45,55,5,0.04488000000000001,-0.40042363636363637,0.04488000000000003
2014-09-13,5,0.18642,0.0,0.9501999999999999,0.0498,87,93,12,0.11280000000000001,0.13438387096774196,0.0770448275862069
2014-09-14,2,-0.07244999999999999,0.0975,0.7905,0.112,76,33,1,-0.5267,-0.19633636363636361,-0.5027921052631579
2014-09-15,3,0.4539333333333333,0.04833333333333333,0.7233333333333333,0.22833333333333336,79,58,32,0.324675,0.35800862068965517,0.3835075949367089
2014-09-16,8,0.21472499999999997,0.023875,0.857125,0.119,544,355,40,0.46137999999999996,0.3072157746478873,0.34378088235294113
2014-09-17,6,0.09674999999999999,0.15266666666666667,0.6945,0.15283333333333335,291,190,29,0.3434931034482758,-0.0012210526315789626,-0.2021721649484536
2014-09-18,4,-0.143575,0.157,0.70225,0.14075,126,98,7,-0.1797571428571429,-0.1403836734693878,-0.34359999999999996
2014-09-19,1,0.0,0.0,1.0,0.0,23,25,0,,0.0,0.0
2014-09-20,2,0.0,0.0,1.0,0.0,120,29,3,0.0,0.0,0.0
2014-09-21,1,0.296,0.0,0.845,0.155,24,27,0,,0.296,0.296
2014-09-22,3,0.4346666666666667,0.0,0.8380000000000001,0.162,67,53,5,0.77896,0.4339094339622642,0.5418746268656717
2014-09-23,10,0.30211,0.0,0.8873,0.1127,562,358,75,0.4092213333333333,0.3216256983240224,0.2998195729537367
2014-09-24,2,0.09009999999999996,0.09,0.7555,0.1545,151,152,18,0.3570777777777777,0.16123552631578944,-0.049135099337748366
2014-09-25,2,0.0,0.0,1.0,0.0,27,27,0,,0.0,0.0
2014-09-27,3,0.0593,0.0,0.964,0.036,193,81,7,0.07624285714285715,0.06369259259259259,0.09033264248704663
2014-09-28,4,0.664725,0.0,0.6555000000000001,0.34450000000000003,116,103,2,0.5252,0.6611145631067961,0.6616741379310345
2014-09-29,2,0.2344,0.049,0.8565,0.095,178,96,16,0.4688,0.39066666666666666,0.4187595505617977
2014-09-30,6,0.34845,0.0,0.8748333333333332,0.12516666666666668,418,244,583,0.508931217838765,0.4094188524590164,0.45614282296650716
2014-10-01,2,-0.0378,0.091,0.8115,0.0975,137,197,9,0.3818,-0.15920710659898477,0.17965693430656934
2014-10-02,3,0.09433333333333332,0.057999999999999996,0.8636666666666667,0.07833333333333332,78,158,3,0.16976666666666665,0.33810949367088605,0.2575641025641025
2014-10-03,3,0.3572,0.0,0.824,0.17600000000000002,152,99,12,0.2848333333333333,0.37793838383838385,0.27376447368421053
2014-10-04,3,0.18036666666666668,0.0,0.9483333333333333,0.051666666666666666,50,49,8,0.2029125,0.15460000000000002,0.19479600000000002
2014-10-06,2,0.0,0.0,1.0,0.0,42,46,2,0.0,0.0,0.0
2014-10-09,2,0.019250000000000017,0.0985,0.797,0.1045,126,62,14,0.07941428571428573,0.03283548387096777,0.23316746031746033
2014-10-10,4,0.580675,0.0,0.72,0.28,82,285,8,0.70145,0.446959649122807,0.6755182926829268
2014-10-12,1,-0.3818,0.13,0.802,0.069,30,33,32,-0.3818,-0.3818,-0.3818
2014-10-13,3,0.1858,0.0,0.9256666666666667,0.07433333333333333,269,83,14,0.07962857142857142,0.12759759036144577,0.0932453531598513
2014-10-14,5,0.06758,0.0484,0.8497999999999999,0.1018,140,117,7,0.004257142857142896,-0.023816239316239288,0.009022142857142867
2014-10-15,8,0.24383749999999996,0.025125,0.876375,0.09837499999999999,167,139,18,0.11230555555555553,0.2437014388489209,0.2133197604790419
2014-10-17,3,0.5434,0.0,0.7876666666666666,0.21233333333333335,92,81,4,0.4971,0.5195037037037037,0.5282608695652175
2014-10-18,1,0.3595,0.0,0.838,0.162,22,26,0,,0.3595,0.3595
2014-10-19,3,0.24766666666666667,0.03966666666666666,0.8336666666666667,0.12633333333333333,72,81,6,0.31816666666666665,0.24715802469135803,0.2370611111111111
2014-10-20,4,0.269725,0.0,0.8755,0.1245,550,135,2,0.12825,0.20944,0.0425569090909091
2014-10-21,1,0.0,0.108,0.784,0.108,27,32,2,0.0,0.0,0.0
2014-10-22,5,0.22758000000000003,0.0,0.8934000000000001,0.1066,103,117,5,0.09824000000000001,0.25153760683760684,0.26840097087378645
2014-10-23,21,0.373852380952381,0.0,0.8316190476190476,0.16838095238095238,534,528,39,0.5828641025641026,0.4083668560606061,0.4454895131086143
2014-10-24,6,0.37894999999999995,0.009333333333333334,0.8383333333333334,0.15233333333333335,125,144,3,0.49289999999999995,0.4324354166666666,0.46787039999999996
2014-10-25,8,0.3336125,0.0,0.8574999999999999,0.14250000000000002,193,204,8,0.0502375,0.24862303921568626,0.2207103626943005
2014-10-26,7,0.4284428571428572,0.008571428571428572,0.8267142857142857,0.16471428571428573,149,181,4,0.3519,0.41055911602209944,0.40769127516778525
