date,count,compound,neg,neu,pos,retweets_count,likes_count,replies_count,compound_weighted_replies,compound_weighted_likes,compound_weighted_retweets
2017-11-28,1,0.877,0.0,0.728,0.272,10,23,2,0.877,0.877,0.877
2017-12-03,2,-0.2057,0.056,0.909,0.035,96,114,22,-0.20569999999999997,-0.2057,-0.2057
2017-12-04,7,0.8019142857142858,0.0,0.7832857142857144,0.21671428571428572,232,196,10,0.82864,0.7995280612244897,0.7895306034482759
2017-12-06,2,0.0,0.0,1.0,0.0,20,70,0,,0.0,0.0
2017-12-09,1,0.4497,0.0,0.933,0.067,99,147,4,0.4497,0.44969999999999993,0.4497
2017-12-12,2,0.0,0.0,1.0,0.0,24,54,6,0.0,0.0,0.0
2017-12-13,2,-0.4939,0.122,0.878,0.0,4,36,4,-0.4939,-0.4939,-0.4939
2017-12-18,1,0.0,0.0,1.0,0.0,6,59,2,0.0,0.0,0.0
2017-12-19,1,0.7717,0.033,0.792,0.175,8,30,1,0.7717,0.7717000000000002,0.7717
2017-12-21,4,0.7229249999999999,0.025,0.75875,0.21599999999999997,61,98,15,0.3985133333333334,0.6570714285714285,0.568755737704918
2017-12-22,3,0.2714,0.0,0.959,0.041,60,147,30,0.2714,0.2714,0.2714
2017-12-24,13,0.5568769230769232,0.007692307692307693,0.8686923076923077,0.1236153846153846,1196,1447,1038,0.742338535645472,0.6203105736005529,0.604541973244147
2017-12-25,10,0.8402000000000001,0.0,0.8160000000000001,0.18399999999999997,614,695,679,0.8401999999999998,0.8401999999999998,0.8402
2017-12-26,2,0.44745,0.0,0.8875,0.1125,391,554,172,0.29656569767441865,0.6994435018050542,0.849125063938619
2017-12-30,1,0.0,0.0,1.0,0.0,30,195,16,0.0,0.0,0.0
2018-01-01,6,0.7339166666666667,0.0,0.7733333333333333,0.22666666666666668,87,146,11,0.40031818181818185,0.42225342465753424,0.3036896551724138
2018-01-05,8,0.234375,0.0,0.9685000000000001,0.0315,537,516,683,0.6204245973645681,0.5220445736434108,0.5027932960893855
2018-01-06,10,-0.15736,0.10840000000000001,0.8128,0.0784,214,436,102,-0.25745098039215686,-0.2147908256880734,-0.0712373831775701
2018-01-07,20,0.26382,0.0078,0.9292999999999999,0.0628,931,2548,247,0.4634105263157895,0.38075435635792776,0.42250569280343725
2018-01-08,2,0.6249,0.0,0.683,0.317,136,194,16,0.6249,0.6249,0.6249
2018-01-09,11,0.5117636363636363,0.01909090909090909,0.8321818181818181,0.14872727272727274,984,1698,361,0.650318005540166,0.6141929328621908,0.6738156504065043
2018-01-10,6,0.47526666666666667,0.034999999999999996,0.8566666666666668,0.10833333333333332,832,1808,270,0.545074074074074,0.5382931415929203,0.5424730769230769
2018-01-11,11,-0.13994545454545457,0.09854545454545455,0.8396363636363637,0.061454545454545456,150,420,56,-0.48581428571428564,-0.1716666666666666,-0.16706399999999996
2018-01-12,3,0.47669999999999996,0.0,0.9330000000000002,0.067,24,84,18,0.4767,0.4767,0.47669999999999996
2018-01-15,1,0.5158,0.0,0.939,0.061,31,50,5,0.5158,0.5158,0.5158
