,Date,Close/Last,Volume,Open,High,Low,label
987,08/02/2018,1210.6,411.0,1214.7,1219.3,1205.8,0.0
988,08/03/2018,1223.2,272386.0,1216.0,1228.5,1212.5,1.0
989,08/06/2018,1208.6,297.0,1214.4,1214.4,1206.6,0.0
990,08/07/2018,1218.3,199691.0,1215.8,1224.3,1215.6,1.0
991,08/08/2018,1221.0,255706.0,1218.7,1223.8,1213.6,1.0
992,08/09/2018,1219.9,225166.0,1222.0,1225.6,1218.4,0.0
993,08/10/2018,1219.0,317657.0,1220.0,1224.9,1213.1,0.0
994,08/13/2018,1198.9,363069.0,1218.4,1221.4,1198.6,0.0
995,08/14/2018,1193.0,92.0,1193.1,1197.5,1192.8,0.0
996,08/15/2018,1185.0,364039.0,1201.5,1202.0,1180.0,0.0
997,08/16/2018,1184.0,353666.0,1183.0,1189.0,1167.1,0.0
998,08/17/2018,1184.2,246695.0,1180.7,1192.0,1178.5,1.0
999,08/20/2018,1194.6,199964.0,1190.4,1197.7,1189.6,1.0
1000,08/21/2018,1200.0,211149.0,1197.3,1204.3,1194.3,1.0
1001,08/22/2018,1203.3,227367.0,1203.0,1208.4,1199.2,1.0
1002,08/23/2018,1194.0,226193.0,1202.8,1203.4,1190.2,0.0
1003,08/24/2018,1213.3,286519.0,1191.6,1215.4,1189.5,1.0
1004,08/27/2018,1216.0,205140.0,1214.5,1218.8,1209.3,1.0
1005,08/28/2018,1207.4,136.0,1209.7,1217.0,1202.3,0.0
1006,08/29/2018,1211.5,235721.0,1206.6,1213.7,1206.6,1.0
1007,08/30/2018,1205.0,276369.0,1212.6,1214.0,1202.1,0.0
1008,08/31/2018,1206.7,117750.0,1206.3,1209.7,1201.2,1.0
1009,09/04/2018,1199.1,402704.0,1207.0,1209.7,1195.1,0.0
1010,09/05/2018,1201.3,203575.0,1197.2,1204.2,1196.4,1.0
1011,09/06/2018,1204.3,278851.0,1202.5,1212.7,1200.5,1.0
1012,09/07/2018,1200.4,272324.0,1205.6,1209.0,1198.7,0.0
1013,09/10/2018,1199.8,207244.0,1200.7,1203.8,1196.2,0.0
1014,09/11/2018,1202.2,253326.0,1200.4,1204.8,1192.7,1.0
1015,09/12/2018,1210.9,292275.0,1203.5,1213.9,1197.6,1.0
1016,09/13/2018,1208.2,295658.0,1212.4,1218.0,1205.0,0.0
1017,09/14/2018,1201.1,276004.0,1206.6,1213.8,1197.7,0.0
1018,09/17/2018,1205.8,205761.0,1199.8,1209.7,1197.5,1.0
1019,09/18/2018,1202.9,223080.0,1206.4,1208.2,1200.3,0.0
1020,09/19/2018,1202.2,,1202.2,1202.2,1202.2,0.0
1021,09/20/2018,1211.3,232693.0,1208.8,1213.2,1205.1,1.0
1022,09/21/2018,1201.3,333369.0,1212.1,1215.8,1196.0,0.0
1023,09/24/2018,1204.4,207122.0,1204.0,1208.8,1198.6,1.0
1024,09/25/2018,1205.1,192109.0,1203.1,1207.9,1201.3,1.0
1025,09/26/2018,1199.1,330481.0,1205.5,1206.9,1194.6,0.0
1026,09/27/2018,1182.3,4947.0,1194.6,1197.3,1180.5,0.0
1027,09/28/2018,1196.2,300928.0,1186.8,1198.0,1184.3,1.0
1028,10/01/2018,1191.7,213617.0,1196.1,1196.5,1188.1,0.0
1029,10/02/2018,1207.0,350240.0,1192.7,1212.3,1192.2,1.0
1030,10/03/2018,1202.9,246832.0,1207.0,1212.3,1200.4,0.0
1031,10/04/2018,1201.6,280314.0,1201.4,1210.7,1199.6,0.0
1032,10/05/2018,1205.6,250219.0,1203.7,1209.8,1200.9,1.0
1033,10/08/2018,1184.4,250.0,1201.0,1201.0,1183.7,0.0
1034,10/09/2018,1191.5,236941.0,1192.2,1195.8,1186.6,1.0
1035,10/10/2018,1193.4,243118.0,1192.7,1198.6,1188.5,1.0
1036,10/11/2018,1227.6,503085.0,1197.9,1230.0,1194.7,1.0
1037,10/12/2018,1222.0,309392.0,1227.7,1228.1,1219.3,0.0
1038,10/15/2018,1226.4,136.0,1222.4,1232.3,1222.4,1.0
1039,10/16/2018,1231.0,233393.0,1230.5,1235.9,1226.3,1.0
1040,10/17/2018,1227.4,228207.0,1228.0,1232.9,1223.7,0.0
1041,10/18/2018,1230.1,239133.0,1225.5,1233.6,1221.7,1.0
1042,10/19/2018,1228.7,188648.0,1228.6,1234.1,1226.2,0.0
1043,10/22/2018,1224.6,180132.0,1230.5,1232.6,1222.8,0.0
1044,10/23/2018,1236.8,276325.0,1225.1,1243.0,1224.5,1.0
1045,10/24/2018,1231.1,204289.0,1233.8,1238.0,1228.3,0.0
1046,10/25/2018,1232.4,252780.0,1236.6,1242.0,1230.5,1.0
1047,10/26/2018,1235.8,304896.0,1234.7,1246.0,1232.5,1.0
1048,10/29/2018,1227.6,225204.0,1236.4,1237.6,1226.1,0.0
1049,10/30/2018,1225.3,218624.0,1231.9,1232.5,1221.4,0.0
1050,10/31/2018,1215.0,231855.0,1224.7,1225.0,1213.4,0.0
1051,11/01/2018,1238.6,293251.0,1216.6,1239.3,1216.1,1.0
1052,11/02/2018,1233.3,249587.0,1235.3,1238.4,1231.3,0.0
1053,11/05/2018,1232.3,157253.0,1234.5,1236.8,1228.4,0.0
