,Date,Open,High,Low,Close,Adj Close**,Volume,Daily_Change,Daily_Change_Ind,MACD,PROC_3,PROC_5,PROC_10,wpr,sto_os,Daily_Change_Perc,Weekly_Change,Weekly_Change_Perc,RSI,streak,Close/Last_Gold,Open_Gold,Daily_Change_Gold,Daily_Change_Perc_Gold,Increased_Gold,RSI_Gold,Close/Last_SP500,Open_SP500,Daily_Change_SP500,Daily_Change_Perc_SP500,Increased_SP500,RSI_SP500,label,count,compound,compound_times_retweets,likes_count,neg,neg_times_retweets,neu,pos,pos_times_retweets,replies_count,retweets_count,pos_weighted,neg_weighted,compound_weighted,count_avg7,count_daily_diff,count_weekly_diff,replies_count_avg7,replies_count_daily_diff,replies_count_weekly_diff,retweets_count_avg7,retweets_count_daily_diff,retweets_count_weekly_diff,likes_count_avg7,likes_count_daily_diff,likes_count_weekly_diff,compound_weighted_avg7,compound_weighted_daily_diff,compound_weighted_weekly_diff,pos_weighted_avg7,pos_weighted_daily_diff,pos_weighted_weekly_diff,neg_weighted_avg7,neg_weighted_daily_diff,neg_weighted_weekly_diff,goog_trend_score
1504,2020-10-02,0.0026,0.0026,0.0025,0.0026,0.0026,"46,978,131",0.0,0,-9.463118782045709e-05,-0.0370370370370371,-0.0370370370370371,-0.0370370370370371,-100.0,0.0,0.0,0.0,0.0,32.27682528762941,-7.0,1907.6,1911.0,-3.400000000000091,-0.0017791732077446,0,46.56241182901295,3348.44,3338.94,9.5,0.0028452143494642,1,38.4449022353146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
1529,2020-11-06,0.0026,0.0028,0.0026,0.0028,0.0028,"54,267,546",0.0002,1,-1.1697131066870214e-05,0.1199999999999999,0.0769230769230769,0.0370370370370369,49.999999999999886,149.9999999999999,0.07692307692307693,0.0002000000000000001,0.07692307692307696,65.76045812780177,2.0,1951.7,1950.0,1.7000000000000457,0.0008717948717948,1,60.29356199692451,3509.44,3508.34,1.099999999999909,0.0003135385966012,1,33.731657809722606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
1145,2019-05-02,0.0025,0.0027,0.0025,0.0026,0.0026,"34,506,272",9.999999999999984e-05,1,-5.029390815401843e-05,0.0399999999999999,0.0399999999999999,-0.0714285714285714,-75.00000000000003,24.99999999999997,0.03999999999999994,0.0,0.0,46.850923061566355,1.0,1272.0,1278.5,-6.5,-0.0050840829096597,0,38.68869995899638,2917.52,2922.16,-4.639999999999873,-0.0015878665097051,0,57.65642042867251,1.0,1.0,0.6486,17.5122,37.0,0.0,0.0,0.883,0.117,3.1590000000000003,33.0,27.0,0.117,0.0,0.6486,3.0,-3.0,-2.0,169.0,-30.0,-136.0,144.0,-96.0,-117.0,202.7142857142857,-352.0,-165.71428571428572,0.5928224156811589,-0.1880682926829269,0.055777584318841,0.1804828719040181,-0.125780487804878,-0.0634828719040181,0.0324246305418719,0.0,-0.0324246305418719,25
1523,2020-10-29,0.0026,0.0026,0.0025,0.0026,0.0026,"58,929,514",0.0,0,-1.2867670283578814e-05,-0.0370370370370371,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,43.28373714116694,-4.0,1868.0,1877.5,-9.5,-0.0050599201065246,0,38.167950827015375,3310.11,3277.17,32.940000000000055,0.0100513552852003,1,25.223206581861437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
1357,2020-03-05,0.0024,0.0025,0.0024,0.0025,0.0025,"104,912,777",0.0001,1,-7.609424575048731e-05,0.0869565217391304,0.1363636363636363,-0.0384615384615383,-40.00000000000002,59.99999999999999,0.04166666666666667,0.0002000000000000001,0.08695652173913047,49.09205563591274,1.0,1666.4,1637.2,29.200000000000045,0.0178353286098216,1,62.82766825598996,3023.94,3075.7,-51.75999999999976,-0.016828689404038,0,60.952242736232286,0.0,1.0,-0.6249,-17.4972,77.0,0.17,4.760000000000001,0.83,0.0,0.0,0.0,28.0,0.0,0.17,-0.6249,4.0,-8.0,-3.0,176.14285714285714,-69.0,-176.14285714285714,226.7142857142857,-181.0,-198.7142857142857,313.42857142857144,-435.0,-236.42857142857144,0.4141992702503649,-1.0752674641148323,-1.039099270250365,0.1296531642162447,-0.160822966507177,-0.1296531642162447,0.0242857142857142,0.17,0.1457142857142857,55
696,2017-07-19,0.0019,0.0019,0.0017,0.0017,0.0017,"8,549,310",-0.0002,0,-0.0003197332498524,0.3076923076923076,0.0,-0.2608695652173913,-71.42857142857143,28.57142857142857,-0.10526315789473685,-0.00010000000000000005,-0.05555555555555558,38.69481248040453,-1.0,1242.0,1242.0,0.0,0.0,0,52.6693443498866,2473.83,2463.85,9.980000000000018,0.0040505712604257,1,51.69358718761853,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55
98,2015-03-05,0.0001,0.0001,0.0001,0.0001,0.0001,"91,110",0.0,0,-5.758391916627645e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.446955863521595,-19.0,1196.2,1200.2,-4.0,-0.0033327778703549,0,37.27117049989351,2101.04,2098.54,2.5,0.0011913044306994,1,55.55563505399572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35
1635,2021-04-13,0.0707,0.0952,0.0707,0.0934,0.0934,"7,176,815,089",0.0226999999999999,1,0.0056426254173866,0.4639498432601881,0.5186991869918699,0.6738351254480286,89.95215311004783,189.95215311004785,0.32107496463931967,0.033699999999999994,0.5644891122278055,77.02051384371084,1.0,1747.6,1732.2,15.399999999999864,0.0088904283570025,1,52.43109142192516,4141.59,4130.1,11.489999999999782,0.002782014963318,1,45.39744177045221,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
746,2017-09-28,0.0011,0.0012,0.0011,0.0011,0.0011,"4,485,170",0.0,0,-0.0001554190543616,0.0,0.1,0.2222222222222223,-24.999999999999968,75.00000000000003,0.0,0.00030000000000000003,0.375,43.92286219429552,-1.0,1288.7,1285.1,3.6000000000001364,0.0028013384172439,1,40.78537052561836,2510.06,2503.41,6.650000000000091,0.0026563767021782,1,22.98159443653709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
1106,2019-03-07,0.002,0.002,0.002,0.002,0.002,"17,976,088",0.0,0,9.905865657744428e-07,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,49.473959399066324,-13.0,1286.1,1287.3,-1.2000000000000457,-0.0009321836401771,0,37.438742744841264,2748.93,2766.53,-17.600000000000364,-0.006361760038749,0,29.75925802190504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66
167,2015-06-12,0.0002,0.0002,0.0002,0.0002,0.0002,"111,553",0.0,0,2.080521204711656e-05,0.0,0.0,0.0,-0.0,100.0,0.0,0.0,0.0,63.1996891529499,-10.0,1179.2,1180.8,-1.599999999999909,-0.0013550135501354,0,44.13440845086037,2094.11,2107.43,-13.319999999999707,-0.006320494630901,0,50.6620074312997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39
852,2018-03-02,0.0062,0.0062,0.0054,0.0055,0.0055,"22,498,100",-0.0007,0,-0.000112820539104,-0.126984126984127,-0.098360655737705,-0.2253521126760564,-145.45454545454547,-45.45454545454548,-0.11290322580645161,-0.0008000000000000004,-0.12698412698412703,42.36032650378257,-1.0,1323.4,1318.0,5.400000000000091,0.0040971168437026,1,47.88396146438383,2691.25,2658.89,32.36000000000013,0.012170492197872,1,47.67690242538051,0.0,8.0,0.2007,96.48560000000002,459.0,0.05175,19.734,0.8707500000000001,0.0775,32.86,399.0,408.0,0.0805392156862745,0.0483676470588235,0.2364843137254902,5.428571428571429,-1.0,2.571428571428571,264.85714285714283,267.0,134.14285714285717,335.42857142857144,-85.0,72.57142857142856,511.0,-831.0,-52.0,0.2674999503643312,-0.4056266396213657,-0.0310156366388409,0.0982815446100607,-0.0493045977011494,-0.0177423289237862,0.0336441255216946,0.0483676470588235,0.0147235215371289,10
777,2017-11-10,0.0014,0.0014,0.0011,0.0012,0.0012,"4,246,520",-0.0002,0,4.000201354676953e-05,0.0,0.0,0.0909090909090907,-50.00000000000002,49.99999999999997,-0.14285714285714288,0.0,0.0,52.36924925034477,-1.0,1274.2,1286.0,-11.799999999999956,-0.0091757387247278,0,45.16920809880693,2582.3,2580.18,2.1200000000003456,0.0008216481020705,1,33.622744010917714,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
